,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,Year,Regional code,Country
337,Annapurna Circuit Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/19/2020,Female,30,Private Sector/Self Employed,No,550000,7,0,Yes,No,0,2016,5830,Micronesia
338,Everest Base Camp Luxury Lodge Trek  ," $1,499 USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/12/2020,Transgender,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,0,2016,5840,Marshall
339,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499 USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/31/2022,Female,29,Private Sector/Self Employed,Yes,1050000,5,0,No,No,0,2016,5850,Palao
340,Upper Mustang Trek  ," $1,499 USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/29/2021,Male,27,Private Sector/Self Employed,No,800000,7,1,No,No,0,2016,5860,Pakistan
341,Everest Advanced Base Camp Trek from Tibet  ," $1,499 USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/28/2023,Transgender,28,Private Sector/Self Employed,Yes,550000,7,0,No,No,0,2016,5910,Panama
342,Gokyo Lakes and Gokyo Ri Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/24/2023,Female,28,Private Sector/Self Employed,Yes,1100000,2,0,No,No,1,2016,5980,Papua New Guinea
343,Mardi Himal Trek  ," $1,499 USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/9/2021,Non-Binary,28,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0,2016,6000,Paraguay
344,Manaslu Circuit Trek  ," $1,499 USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2021,Male,32,Government Sector,Yes,800000,4,0,Yes,Yes,0,2016,6040,Peru
345,Langtang Valley Trek  ," $1,499 USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/11/2022,Transgender,29,Private Sector/Self Employed,Yes,1200000,5,0,No,Yes,0,2016,6080,Philippines
346,Annapurna Sanctuary Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/22/2023,Female,25,Private Sector/Self Employed,Yes,1800000,7,1,Yes,No,1,2016,6160,Poland
347,Rara Lake Trek  ," $1,499 USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/29/2022,Female,34,Private Sector/Self Employed,Yes,1300000,6,0,Yes,No,0,2016,6200,Portugal
348,Everest High Passes Trek  ," $1,499 USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/26/2020,Transgender,31,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,0,2016,6240,Guinea Visau
349,Kanchenjunga Circuit Trek  ," $1,499 USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/4/2022,Female,28,Private Sector/Self Employed,Yes,500000,3,0,No,No,0,2016,6260,East Timor Democratic Republic
350,Everest View Trek  ," $1,499 USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2022,Non-Binary,31,Private Sector/Self Employed,Yes,950000,5,0,Yes,Yes,0,2016,6340,Qatar
351,Tsum Valley Trek  ," $1,499 USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/6/2022,Female,29,Private Sector/Self Employed,Yes,1200000,9,1,Yes,No,0,2016,6420,Romania
352,The Royal Trek  ," $1,499 USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/21/2020,Non-Binary,31,Private Sector/Self Employed,Yes,1350000,6,0,No,Yes,1,2016,6430,Russia
353,Makalu Base Camp Trek  ," $1,499 USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/6/2023,Female,31,Government Sector,No,300000,3,0,No,No,0,2016,6460,Rwanda
354,"Langtang, Gosainkunda and Helambu Trek  "," $1,499 USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/13/2022,Transgender,25,Private Sector/Self Employed,No,1150000,5,0,No,No,1,2016,6590,St. Christopher Navis
355,Nar Phu Valley Trek  ," $1,499 USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/9/2023,Non-Binary,28,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1,2016,6620,St. Lucia
356,Annapurna Circle Trek  ," $1,499 USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/6/2023,Male,34,Private Sector/Self Employed,Yes,1000000,4,0,No,No,0,2016,6700,St. Vincent
357,Everest Kangshung Face Trek  ," $1,499 USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/18/2023,Transgender,34,Private Sector/Self Employed,Yes,500000,5,0,No,No,0,2016,6740,Sun Marino
358,Tsum Valley and Manaslu Trek  ," $1,499 USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/15/2022,Non-Binary,34,Private Sector/Self Employed,Yes,1000000,5,0,Yes,No,0,2016,6780,Santa Principa
359,Khopra Ridge Community Trek  ," $1,499 USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/25/2023,Non-Binary,25,Private Sector/Self Employed,No,1150000,3,0,No,No,0,2016,6820,Saudi Arabia
360,Nepal Experience Tour  ," $1,499 USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/10/2023,Female,28,Private Sector/Self Employed,No,550000,4,0,No,No,0,2016,6860,Senegal
361,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499 USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/11/2023,Male,29,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1,2016,6880,Serbia
362,Annapurna With Tilicho Lake Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/1/2022,Male,28,Private Sector/Self Employed,Yes,700000,2,1,No,No,0,2016,6900,Saechel
363,Langtang Valley Trek with Ganja la Pass  ," $1,499 USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/4/2021,Female,34,Government Sector,Yes,1300000,4,0,No,No,0,2016,6940,Sierra Leone
364,Tamang Heritage Trek  ," $1,499 USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/18/2022,Female,31,Government Sector,Yes,1200000,6,0,No,No,0,2016,7020,Singapore
365,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499 USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/3/2023,Transgender,25,Private Sector/Self Employed,No,1700000,3,0,Yes,No,1,2016,7030,Slovakia
366,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499 USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/21/2022,Male,28,Government Sector,Yes,300000,3,0,No,No,0,2016,7040,Vietnam
367,Nepal Hiking and Culture Tour  ," $1,499 USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/24/2022,Female,31,Government Sector,Yes,1300000,4,0,No,No,0,2016,7050,Slovenia
368,Annapurna Sunrise and Everest View Trek  ," $1,499 USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/30/2020,Non-Binary,35,Private Sector/Self Employed,No,800000,3,0,No,No,1,2016,7060,Somalia
369,Tenzing Hillary Everest Marathon  ," $1,499 USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/10/2022,Female,32,Government Sector,Yes,800000,7,1,No,No,0,2016,7100,Republic of South Africa
370,Everest Base Camp Trek,$1450 USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/15/2022,Female,31,Government Sector,Yes,1300000,6,0,No,No,1,2016,7160,Zimbabwe
371,Everest Kalapathar Trekking,$1390 USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/24/2020,Non-Binary,27,Government Sector,Yes,900000,5,1,No,Yes,0,2016,7240,Spain
372,Everest Panorama Trek,$1040 USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/18/2021,Female,29,Private Sector/Self Employed,Yes,350000,5,1,No,No,0,2016,7280,South Sudan
373,Everest Base Camp Trek via Gokyo Lake,$1530 USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/18/2020,Non-Binary,28,Private Sector/Self Employed,Yes,900000,5,0,Yes,No,0,2016,7290,Sudan
374,Gokyo Lake Trek,$1190 USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/10/2022,Transgender,28,Government Sector,Yes,600000,7,0,No,No,0,2016,7400,Slinum
375,Everest Base Camp Heli Trek,$3600 USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/15/2022,Non-Binary,28,Private Sector/Self Employed,Yes,1100000,6,1,No,No,0,2016,7480,Swaji Land
376,Annapurna Circuit Trek,$1100 USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/19/2020,Male,31,Government Sector,Yes,1300000,4,0,No,No,0,2016,7520,Sweden
377,Annapurna Base Camp Trek,$1090 USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/1/2022,Male,27,Private Sector/Self Employed,No,1550000,4,0,Yes,No,1,2016,7560,Switzerland
378,Ghorepani Poon Hill Trek,$450 USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/9/2022,Male,25,Private Sector/Self Employed,Yes,1700000,5,0,Yes,No,1,2016,7600,Syria
379,Upper Mustang Trek,$2100 USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,9/9/2022,Female,27,Private Sector/Self Employed,No,1550000,6,0,Yes,No,1,2016,7620,Tajikistan
380,Mardi Himal Trek,$590 USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/4/2021,Non-Binary,28,Private Sector/Self Employed,Yes,1200000,5,1,No,No,0,2016,7640,Thailand
381,Langtang Valley Trekking,$690 USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/13/2021,Female,29,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0,2016,7680,Togo
382,Manaslu Circuit Trek,$1190 USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/13/2025,Female,31,Private Sector/Self Employed,No,1400000,3,1,Yes,No,1,5460,4560,Nepal
